,student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
731,19215,city_160,0.92,Male,False,no_enrollment,Graduate,Humanities,10,10000+,Pvt Ltd,1,57,False
740,6448,city_165,0.903,Male,True,Part time course,Graduate,STEM,>20,10000+,Pvt Ltd,>4,6,False
741,30878,city_91,0.691,Male,False,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,32,False
746,3708,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,>4,290,False
752,31798,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,8,False
765,11292,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156,False
772,27490,city_71,0.884,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,70,False
777,26674,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,2,6,False
790,32720,city_145,0.555,Female,True,Part time course,Masters,STEM,>20,10000+,NGO,3,135,False
793,33126,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,25,False
805,24091,city_123,0.738,Male,True,no_enrollment,Masters,STEM,13,1000-4999,Public Sector,>4,66,False
814,32958,city_160,0.92,Female,True,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,1,7,False
823,893,city_114,0.926,Male,True,no_enrollment,High School,,20,1000-4999,Pvt Ltd,>4,90,False
826,10175,city_103,0.92,,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,20,False
828,14496,city_114,0.926,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,109,False
831,22997,city_173,0.878,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,9,False
834,2991,city_23,0.899,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,never,48,False
840,9485,city_104,0.924,,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,35,False
854,23609,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,3,18,False
858,13864,city_102,0.804,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,51,False
861,26682,city_89,0.925,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,108,False
875,13277,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,26,False
881,31014,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,4,62,False
883,16796,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,54,False
914,6449,city_160,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,never,8,False
915,18824,city_114,0.926,Male,False,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,never,52,False
920,28453,city_16,0.91,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,18,False
931,6304,city_103,0.92,Male,True,Part time course,Graduate,STEM,19,1000-4999,Public Sector,>4,142,False
933,31368,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,314,False
959,21276,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,94,False
965,27419,city_21,0.624,,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,never,17,False
967,23981,city_160,0.92,,False,no_enrollment,Phd,Humanities,>20,1000-4999,Public Sector,>4,19,False
969,13345,city_165,0.903,,False,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,>4,92,False
982,33128,city_173,0.878,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,163,False
997,10028,city_73,0.754,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,42,False
1004,10724,city_21,0.624,,True,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,1,40,False
1013,32631,city_103,0.92,Male,True,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,5,False
1017,24199,city_16,0.91,Male,False,no_enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,2,14,False
1019,16990,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,97,False
1034,10933,city_21,0.624,Male,True,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1,75,False
1040,9052,city_21,0.624,Male,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,85,False
1044,7545,city_165,0.903,,True,no_enrollment,Graduate,Arts,17,1000-4999,,3,47,False
1045,28589,city_103,0.92,,True,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,2,16,False
1050,5710,city_50,0.896,Male,True,no_enrollment,Masters,STEM,13,5000-9999,Public Sector,2,88,False
1056,9930,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,2,121,False
1069,4046,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,24,False
1083,15213,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,94,False
1107,32605,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,3,155,False
1114,32802,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,38,False
1121,14793,city_116,0.743,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,3,178,False
1123,31862,city_104,0.924,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,4,50,False
1126,31370,city_136,0.897,Male,True,no_enrollment,Graduate,Humanities,>20,1000-4999,Pvt Ltd,4,6,False
1132,7739,city_136,0.897,Male,True,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,28,False
1133,7155,city_23,0.899,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,>4,20,False
1139,14107,city_28,0.939,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,15,False
1152,26261,city_73,0.754,Male,True,no_enrollment,Masters,STEM,15,1000-4999,Public Sector,>4,7,False
1161,21236,city_160,0.92,,False,no_enrollment,Masters,STEM,11,1000-4999,Public Sector,1,98,False
1199,15051,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,116,False
1202,29357,city_103,0.92,Male,True,no_enrollment,Graduate,Humanities,>20,1000-4999,NGO,>4,74,False
1222,29628,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,36,False
1228,27115,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,94,False
1233,27462,city_103,0.92,Male,True,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,1,85,False
1248,19290,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,18,False
1251,26351,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,14,5000-9999,Public Sector,>4,28,False
1274,10885,city_104,0.924,Male,True,no_enrollment,Masters,STEM,11,1000-4999,Pvt Ltd,4,31,False
1287,11347,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,45,False
1294,12794,city_16,0.91,Male,True,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,72,False
1311,17931,city_36,0.893,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,False
1320,6278,city_160,0.92,Male,True,no_enrollment,Graduate,No Major,>20,10000+,Public Sector,>4,69,False
1336,19737,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,33,False
1349,3436,city_67,0.855,Male,True,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,12,False
1353,10364,city_114,0.926,,True,no_enrollment,High School,,11,10000+,Other,>4,107,False
1360,5549,city_75,0.939,Male,True,no_enrollment,Graduate,Arts,>20,1000-4999,NGO,>4,172,False
1367,18908,city_114,0.926,Male,False,Full time course,Masters,STEM,10,1000-4999,Public Sector,2,37,False
1371,15178,city_103,0.92,Male,True,no_enrollment,Masters,Humanities,>20,10000+,Pvt Ltd,>4,80,False
1377,31595,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,58,False
1398,10186,city_61,0.913,Male,True,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,3,54,False
1441,12595,city_23,0.899,,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,,39,False
1458,24662,city_98,0.949,Male,True,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,2,158,False
1465,31529,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,50,False
1467,29811,city_103,0.92,Male,True,no_enrollment,Masters,STEM,18,1000-4999,Pvt Ltd,1,111,False
1482,3126,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,1,13,False
1486,27493,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,1000-4999,NGO,2,5,False
1490,9973,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156,False
1495,13824,city_16,0.91,Male,True,no_enrollment,High School,,17,10000+,Pvt Ltd,>4,22,False
1503,6355,city_152,0.698,Male,True,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,146,False
1519,21255,city_99,0.915,Male,True,no_enrollment,High School,,>20,1000-4999,Pvt Ltd,2,26,False
1528,12133,city_160,0.92,Male,True,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,2,18,False
1545,14943,city_16,0.91,Male,True,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,36,False
1565,17030,city_16,0.91,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,3,False
1572,2602,city_21,0.624,Male,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,222,False
1596,7451,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,33,False
1607,31553,city_98,0.949,Male,True,no_enrollment,Graduate,STEM,11,1000-4999,,2,64,False
1629,4016,city_103,0.92,,True,no_enrollment,Masters,STEM,>20,5000-9999,Public Sector,2,78,False
1636,26891,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,4,68,False
1640,10615,city_123,0.738,Male,True,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,2,29,False
1645,17093,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,53,False
1663,33380,city_83,0.923,Male,False,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,2,168,False
1668,16969,city_160,0.92,Male,False,no_enrollment,Graduate,No Major,>20,5000-9999,Pvt Ltd,>4,12,False
1671,9203,city_102,0.804,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,43,False
1692,2572,city_104,0.924,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,never,95,False
1702,4335,city_103,0.92,Female,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,>4,142,False
1704,31612,city_73,0.754,Male,True,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,2,14,False
1706,15041,city_103,0.92,Other,False,no_enrollment,Graduate,STEM,13,10000+,Public Sector,>4,13,False
1710,4880,city_103,0.92,Male,True,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,50,False
1717,9264,city_83,0.923,Male,True,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,4,17,False
1723,22662,city_67,0.855,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,107,False
1730,29164,city_103,0.92,Male,True,Part time course,Masters,Business Degree,11,10000+,Public Sector,3,60,False
1731,19711,city_67,0.855,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,138,False
1736,29504,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,55,False
1743,24567,city_16,0.91,Male,False,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,20,False
1749,27473,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,9,False
1758,15688,city_114,0.926,,True,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,2,9,False
1767,5555,city_103,0.92,Other,True,no_enrollment,Graduate,STEM,20,10000+,Public Sector,1,14,False
1821,18895,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,1000-4999,,2,18,False
1822,8661,city_103,0.92,Male,False,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,3,False
1827,22355,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,>4,17,False
1829,17076,city_103,0.92,,True,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,1,37,False
1854,7542,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,58,False
1858,12107,city_114,0.926,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,never,16,False
1865,23481,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,43,False
1919,364,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,23,False
1921,24632,city_160,0.92,,False,no_enrollment,Phd,STEM,>20,5000-9999,Public Sector,>4,19,False
1922,31830,city_61,0.913,Male,True,no_enrollment,Graduate,Other,10,5000-9999,Public Sector,1,7,False
1926,28067,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,36,False
1936,18973,city_36,0.893,,True,no_enrollment,High School,,>20,10000+,Pvt Ltd,>4,35,False
1941,2713,city_16,0.91,,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,9,False
1943,27986,city_45,0.89,Female,True,no_enrollment,High School,,16,1000-4999,Pvt Ltd,3,48,False
1957,19973,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,1,48,False
1971,27821,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,7,False
2005,11450,city_114,0.926,Male,False,no_enrollment,Masters,STEM,19,1000-4999,Public Sector,>4,48,False
2006,29675,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,4,138,False
2013,10087,city_103,0.92,Male,False,no_enrollment,Graduate,STEM,17,5000-9999,Pvt Ltd,>4,67,False
2029,20325,city_46,0.762,Male,True,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,15,False
2032,27137,city_21,0.624,Male,False,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,24,False
2037,20182,city_100,0.887,Male,False,no_enrollment,Phd,Business Degree,>20,10000+,Public Sector,,14,False
2041,25641,city_21,0.624,Male,True,Part time course,Graduate,STEM,13,10000+,Pvt Ltd,4,154,False
2077,29349,city_103,0.92,Male,True,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,1,22,False
2089,11160,city_67,0.855,Male,True,no_enrollment,Masters,STEM,16,1000-4999,Pvt Ltd,1,192,False
2111,17419,city_65,0.802,Female,True,Part time course,Graduate,STEM,11,1000-4999,Pvt Ltd,1,174,False
2119,26112,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,143,False
2128,2078,city_100,0.887,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,3,107,False
2136,14417,city_103,0.92,Male,True,no_enrollment,Graduate,Arts,>20,10000+,Pvt Ltd,4,72,False
2144,10937,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,33,False
2151,31239,city_114,0.926,,True,Part time course,Graduate,STEM,19,10000+,Pvt Ltd,>4,41,False
2155,11911,city_103,0.92,,True,Part time course,Graduate,STEM,19,1000-4999,Pvt Ltd,1,68,False
2170,3538,city_103,0.92,Male,True,no_enrollment,Graduate,Humanities,>20,10000+,Pvt Ltd,>4,86,False
2172,3887,city_103,0.92,Female,True,no_enrollment,Phd,STEM,13,5000-9999,Pvt Ltd,1,11,False
2184,4179,city_103,0.92,,True,no_enrollment,Graduate,Arts,17,10000+,Pvt Ltd,4,59,False
2196,252,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,1,26,False
2198,4344,city_76,0.698,Male,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,14,False
2217,30079,city_160,0.92,Male,True,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,2,92,False
2221,13328,city_21,0.624,Male,True,,Graduate,STEM,14,10000+,Pvt Ltd,1,78,False
2223,10295,city_61,0.913,Male,True,no_enrollment,High School,,>20,1000-4999,Pvt Ltd,3,46,False
2230,3155,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,126,False
2234,16929,city_103,0.92,,True,no_enrollment,Masters,Other,15,1000-4999,Pvt Ltd,4,43,False
2243,8067,city_45,0.89,Male,True,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,27,False
2248,7687,city_89,0.925,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,86,False
2258,29692,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,79,False
2263,5952,city_21,0.624,Male,True,no_enrollment,Masters,STEM,20,10000+,Pvt Ltd,>4,54,False
2272,24322,city_116,0.743,Male,True,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,2,135,False
2290,25820,city_103,0.92,Male,True,no_enrollment,Graduate,Humanities,19,10000+,Pvt Ltd,1,145,False
2293,50,city_103,0.92,Male,True,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,1,79,False
2302,7222,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,9,False
2304,29172,city_103,0.92,Male,True,Full time course,Graduate,STEM,15,1000-4999,Pvt Ltd,2,94,False
2307,19129,city_67,0.855,,False,no_enrollment,Masters,Business Degree,19,1000-4999,Pvt Ltd,2,15,False
2316,23841,city_144,0.84,,True,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,1,210,False
2320,4379,city_103,0.92,Male,True,no_enrollment,Graduate,Arts,>20,5000-9999,NGO,>4,90,False
2324,29814,city_103,0.92,Male,False,no_enrollment,Masters,Other,16,10000+,Pvt Ltd,>4,43,False
2346,5565,city_21,0.624,Male,True,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,>4,168,False
2348,22197,city_61,0.913,,True,no_enrollment,,,19,1000-4999,Pvt Ltd,>4,23,False
2349,23633,city_150,0.698,Male,False,Full time course,Phd,STEM,>20,10000+,Public Sector,>4,3,False
2356,16762,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,7,False
2364,28672,city_103,0.92,Male,False,no_enrollment,Masters,STEM,19,1000-4999,Pvt Ltd,1,90,False
2370,25954,city_103,0.92,,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,130,False
2374,5149,city_21,0.624,Male,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,never,64,False
2386,2009,city_28,0.939,Male,True,no_enrollment,Masters,Humanities,15,1000-4999,Pvt Ltd,4,12,False
2397,28338,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Public Sector,1,41,False
2412,31322,city_75,0.939,Male,True,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,1,332,False
2423,1710,city_103,0.92,Male,False,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,47,False
